Topic,Words,Frequency,Class
24,"veckan, dagar veckan, dagar, öppettiderna, bibliotekspersonal",1,Lysekil
26,"gullmarsskolans, bibliotekssystem folkbiblioteken, bibliotekssystem, procent, skolbibliotek",1,Lysekil
-1,"färgelanda, bibliotek, barn, biblioteket, genom",43,Färgelanda
0,"digital kompetens, digital, räknas, kompetens, olika",1,Färgelanda
1,"sociala medier programblad, använder webb sociala medier programblad, webb sociala medier programblad, medier programblad, utbudet vänder informationskanaler biblioteken använder",2,Färgelanda
2,"färgelanda, samverkan, bibliotek, lånar böcker, färgelanda bibliotek",4,Färgelanda
3,"färgelanda, biblioteksverksamhetens nuläge, biblioteksverksamhetens, nuläge, resursplan 2022",4,Färgelanda
8,"rätt, barn rätt, barn, tillhör, biblioteksstrategi",1,Färgelanda
10,"nationella, minoritetsspråken, nationella minoritetsspråken, svenska, exponera",1,Färgelanda
19,"biblioteksmiljö mer fler sittplatser kulturupplevelsedet, målet färgelandas kommuns folkhälsoarbete, färgelandas kommuns folkhälsoarbete, färgelandas kommuns folkhälsoarbete skapa, mer fler sittplatser kulturupplevelsedet övergripande",1,Färgelanda
25,"färgelanda, biblioteksplanen, kommuns, skapa mervärde attraktiv mötesplats medborgare, företagsam gott bemötande sätter biblioteksverksamheten",1,Färgelanda
27,"dalsland, bibliotek dalsland, bibliotek, färgelanda, färgelanda bibliotek",2,Färgelanda
28,"jämn nivå, jämn nivå snittet, jämn nivå snittet riket, nivå snittet riket, snittet riket",1,Färgelanda
29,"nöjesläsning, bildning utbildning, dels, skolbiblioteket, läsfrämjande 8skolbibliotek bildning utbildning sou",1,Färgelanda
-1,"lycksele, folkbiblioteket, barn, biblioteken, biblioteket",32,Lycksele
0,"erum, digitala, digital, arbetet, with eight proficiency",4,Lycksele
1,"biblioteksrummet, naturligt grunden, naturligt, arrangemang, utformning",2,Lycksele
2,"samarbetet, v8, biblioteken, lycksele, samarbetet biblioteken lycksele",3,Lycksele
5,"nyckeltal, årligen, biblioteksplanen, uppföljning, verksamhetsplanen",5,Lycksele
8,"rättigheter, fn, god folkhälsa, barnets, vision mål",1,Lycksele
15,"kommer folkbiblioteket, folkbiblioteket, medieanslaget speglar, mediestrategi framgå, arbetet tydligare kommer folkbiblioteket",1,Lycksele
16,"minoritetsspråk, nationella, elevernas, nationella minoriteter minoritetsspråk, minoriteter minoritetsspråk",1,Lycksele
18,"tillgång, folkbiblioteken, litteratur, enligt, tillgång skolbibliotek",2,Lycksele
19,"medkänsla, goda värdskapet, värdeord, värdskapet, lycksele kommun",1,Lycksele
23,"erum biblioteksbuss folkbiblioteket ansvarar mediapulsen, budget folkbiblioteket tillhör, tur ingår verksamhetsområdet samhällsbyggnad, verksamhetsområdet samhällsbyggnad kommunstyrelsen ansvarig nämnd, tur ingår",1,Lycksele
24,"veckan, timmar, timmar veckan, veckan dagar, timmar veckan dagar",2,Lycksele
26,"västerbotten, regionbibliotek västerbotten, sjukhusbiblioteket, lycksele, regionbibliotek",1,Lycksele
-1,"nyköpings, bibliotek, stadsbiblioteket, finns, biblioteket",35,Nyköping
0,"digitala, klyftan fortsatt, digitala klyftan fortsatt, digitala klyftan, klyftan",3,Nyköping
1,"samtidigt studerande andra söker, andra söker tyst, behov tillfredsställt sägas, stängdes 2016 göras, behov tillfredsställt sägas situationen",2,Nyköping
2,"stadsbiblioteket, nyköpings, filialen stigtomta, stigtomta, andra",2,Nyköping
